timestamp,temperature.gpu,clocks.sm,clocks.mem,power.draw,memory.used,utilization.gpu,clocks_throttle_reasons.sw_thermal_slowdown,clocks_throttle_reasons.hw_thermal_slowdown,clocks_throttle_reasons.sw_power_cap
2026/09/22 08:34:30.295, 79, 945, 6000, 59.76, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:32.348, 79, 885, 6000, 57.83, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:34.405, 79, 690, 6000, 67.69, 7893, 91, Active, Not Active, Not Active
2026/09/22 08:34:36.462, 79, 945, 6000, 55.29, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:38.516, 79, 855, 6000, 58.32, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:40.575, 79, 885, 6000, 57.58, 7893, 94, Active, Not Active, Not Active
2026/09/22 08:34:42.635, 79, 930, 6000, 62.81, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:44.702, 79, 885, 6000, 58.53, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:46.756, 79, 975, 6000, 58.74, 7893, 79, Active, Not Active, Not Active
2026/09/22 08:34:48.816, 79, 885, 6000, 57.54, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:50.872, 79, 885, 6000, 51.99, 7893, 84, Active, Not Active, Not Active
2026/09/22 08:34:52.922, 79, 945, 6000, 57.27, 7893, 98, Active, Not Active, Not Active
2026/09/22 08:34:54.978, 79, 885, 6000, 58.13, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:34:57.037, 79, 1005, 6000, 50.24, 7893, 98, Active, Not Active, Not Active
2026/09/22 08:34:59.091, 79, 885, 6000, 58.58, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:01.157, 79, 855, 6000, 57.75, 7893, 91, Active, Not Active, Not Active
2026/09/22 08:35:03.226, 79, 900, 6000, 58.20, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:05.281, 79, 885, 6000, 58.01, 7893, 96, Active, Not Active, Not Active
2026/09/22 08:35:07.343, 79, 660, 6000, 57.44, 7893, 86, Active, Not Active, Not Active
2026/09/22 08:35:09.412, 79, 1515, 6000, 56.15, 7893, 97, Active, Not Active, Not Active
2026/09/22 08:35:11.474, 79, 885, 6000, 58.50, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:13.541, 80, 690, 6000, 58.53, 7893, 72, Active, Not Active, Not Active
2026/09/22 08:35:15.604, 79, 720, 6000, 53.89, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:17.674, 79, 825, 6000, 50.09, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:19.737, 79, 690, 6000, 51.27, 7893, 94, Active, Not Active, Not Active
2026/09/22 08:35:21.803, 79, 705, 6000, 53.72, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:23.891, 79, 870, 6000, 50.83, 7893, 77, Active, Not Active, Not Active
2026/09/22 08:35:25.947, 79, 645, 6000, 53.90, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:28.016, 79, 570, 6000, 52.73, 7893, 93, Active, Not Active, Not Active
2026/09/22 08:35:30.077, 79, 510, 6000, 50.01, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:32.141, 79, 615, 6000, 52.34, 7893, 97, Active, Not Active, Not Active
2026/09/22 08:35:34.254, 79, 510, 6000, 50.47, 7893, 95, Active, Not Active, Not Active
2026/09/22 08:35:36.324, 79, 555, 6000, 50.12, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:38.409, 79, 600, 6000, 53.07, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:40.507, 79, 645, 6000, 53.96, 7893, 98, Active, Not Active, Not Active
2026/09/22 08:35:42.575, 79, 1110, 6000, 47.89, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:44.637, 79, 510, 6000, 49.81, 7893, 77, Active, Not Active, Not Active
2026/09/22 08:35:46.707, 79, 570, 6000, 49.80, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:48.776, 79, 570, 6000, 50.26, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:50.841, 79, 555, 6000, 50.57, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:35:52.925, 79, 645, 6000, 52.89, 7893, 98, Active, Not Active, Not Active
2026/09/22 08:35:55.020, 79, 510, 6000, 50.12, 7893, 96, Active, Not Active, Not Active
2026/09/22 08:35:57.087, 79, 1515, 6000, 43.67, 608, 0, Active, Not Active, Not Active
2026/09/22 08:35:59.162, 78, 1035, 6000, 35.07, 759, 5, Not Active, Not Active, Not Active
2026/09/22 08:36:01.253, 78, 1035, 6000, 33.92, 2231, 23, Not Active, Not Active, Not Active
2026/09/22 08:36:03.341, 78, 1035, 6000, 47.65, 6155, 6, Not Active, Not Active, Not Active
2026/09/22 08:36:05.518, 78, 1035, 6000, 33.74, 6155, 4, Not Active, Not Active, Not Active
2026/09/22 08:36:07.753, 77, 300, 810, 22.09, 6156, 21, Not Active, Not Active, Not Active
2026/09/22 08:36:10.044, 78, 1170, 6000, 35.99, 7214, 1, Not Active, Not Active, Not Active
2026/09/22 08:36:12.162, 77, 210, 405, 23.31, 7214, 7, Not Active, Not Active, Not Active
2026/09/22 08:36:14.249, 77, 1035, 6000, 24.23, 7484, 100, Not Active, Not Active, Not Active
2026/09/22 08:36:16.353, 79, 1050, 6000, 77.11, 7524, 85, Active, Not Active, Not Active
2026/09/22 08:36:18.418, 79, 1155, 6000, 65.89, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:36:20.491, 79, 1155, 6000, 59.65, 7524, 83, Active, Not Active, Not Active
2026/09/22 08:36:22.549, 79, 765, 6000, 57.29, 7524, 80, Active, Not Active, Not Active
2026/09/22 08:36:24.628, 79, 750, 6000, 54.89, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:36:26.695, 79, 540, 6000, 55.06, 7524, 96, Active, Not Active, Not Active
2026/09/22 08:36:28.778, 79, 645, 6000, 51.90, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:36:30.845, 79, 645, 6000, 52.54, 7524, 97, Active, Not Active, Not Active
2026/09/22 08:36:32.905, 80, 510, 6000, 54.45, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:36:34.962, 79, 510, 6000, 50.51, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:36:37.016, 79, 510, 6000, 49.07, 7524, 97, Active, Not Active, Not Active
2026/09/22 08:36:39.072, 80, 510, 6000, 53.35, 7524, 98, Active, Not Active, Not Active
2026/09/22 08:36:41.141, 79, 510, 6000, 49.13, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:36:43.198, 79, 510, 6000, 53.32, 7524, 99, Active, Not Active, Not Active
2026/09/22 08:36:45.266, 79, 510, 6000, 45.78, 7524, 92, Active, Not Active, Not Active
2026/09/22 08:36:47.342, 79, 510, 6000, 48.53, 7524, 100, Active, Not Active, Not Active
2026/09/22 08:36:49.403, 80, 510, 6000, 53.31, 7524, 98, Active, Not Active, Not Active
